MCC is started and listens on 5000
NEW robot: type=0 color=0
got activate 0 
#0 Send data 0:	(-157, 727, 52.000000)
#0 Send data 0:	(-161, 722, 52.000000)
#0 Send data 0:	(-161, 722, 52.000000)
state: 2
Finally DONE !!!
#0 Send data 0:	(-161, 722, 52.000000)
#0 Send data 0:	(-161, 722, 52.000000)
#0 Send data 0:	(-158, 726, 52.000000)
#0 Send data 0:	(-153, 733, 52.000000)
#0 Send data 0:	(-148, 739, 52.000000)
#0 Send data 0:	(-143, 745, 52.000000)
#0 Send data 0:	(-139, 751, 52.000000)
#0 Send data 0:	(-134, 757, 52.000000)
#0 Send data 0:	(-129, 763, 52.000000)
#0 Send data 0:	(-124, 769, 52.000000)
#0 Send data 4:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
#0 Send data 0:	(-123, 771, 52.000000)
